product_name,product_ref,product_title,product_price,store,shopping_frequency
watermelon,1,Watermelon,2.99,Aldi,2
raspberries,2,British Raspberries,1.89,Aldi,2
blackberries,3,British Blackberries,1.99,Aldi,2
pineapple,4,Fyffes Ready to Eat Pineapple,0.98,Morrisons,1
papaya,7,Morrisons Formosa Papaya Fruit,4.5,Morrisons,2
broccoli,8,British Broccoli,0.79,Aldi,2
green beans,10,Morrisons Savers Green Beans,0.77,Morrisons,2
carrots,14,Carrots,0.69,Aldi,2
red peppers,19,Mixed Peppers,1.79,Aldi,2
lettuce,20,British Little Gem Lettuce 2 Pack,0.77,Aldi,2
cucumber,21,Cucumber,0.79,Aldi,2
dairy free yoghurt,23,Arla LactoFREE Natural Yogurt,1.25,Morrisons,2
chickpeas,26,Chickpeas,0.45,Aldi,2
organic eggs,28,British Organic Eggs 6 Pack,2.25,Aldi,1
dark choc,29,Dark 85% Cocoa Chocolate,2.49,Aldi,2
organic milk,30,Morrisons Organic Semi-Skimmed Milk 1L,1.55,Morrisons,1
salmon,36,Boneless Salmon Fillets 2 Pack,3.59,Aldi,2
