product_name,product_ref,product_title,product_price,store,shopping_frequency
watermelon,1,Morrisons Watermelon,3.55,Morrisons,2
raspberries,2,Morrisons Raspberries 150g Punnet,2.15,Morrisons,2
blackberries,3,Morrisons Blackberries 150g Punnet,2.6,Morrisons,2
pineapple,4,Fyffes Ready to Eat Pineapple,0.98,Morrisons,1
papaya,7,Morrisons Formosa Papaya Fruit,4.5,Morrisons,2
broccoli,8,Morrisons Broccoli  375g,0.82,Morrisons,2
green beans,10,Morrisons Savers Green Beans,0.77,Morrisons,2
carrots,14,Morrisons British Carrots 1kg,0.69,Morrisons,2
red peppers,19,Morrisons Greengrocer Sweet Peppers 3 Pack (Colours May Vary),2.1,Morrisons,2
lettuce,20,Morrisons Little Gem Lettuce  2 Pack,0.77,Morrisons,2
cucumber,21,Morrisons Whole Cucumber,0.99,Morrisons,2
dairy free yoghurt,23,Arla LactoFREE Natural Yogurt,1.25,Morrisons,2
chickpeas,26,Morrisons Chickpeas In Water (400g),0.45,Morrisons,2
organic eggs,28,Purely Organic 10 Mixed Size Eggs,5.2,Morrisons,1
dark choc,29,Lindt Excellence Dark 85% Cocoa Chocolate Bar 100g,3.5,Morrisons,2
organic milk,30,Morrisons Organic Semi-Skimmed Milk 1L,1.55,Morrisons,1
salmon,36,Morrisons 2 Salmon Fillets 220g,4.06,Morrisons,2
