product_name,product_ref,product_title,product_price,store,shopping_frequency
watermelon,1,Watermelon,2.99,Aldi,2
raspberries,2,British Raspberries,1.89,Aldi,2
blackberries,3,British Blackberries,1.99,Aldi,2
pineapple,4,Tesco Pineapple,0.98,Tesco,1
papaya,7,Tesco Ripe Papaya Each,2.0,Tesco,2
broccoli,8,British Broccoli,0.79,Aldi,2
green beans,10,Tesco Green Beans 220G,0.85,Tesco,2
carrots,14,Tesco Carrots 1Kg,0.69,Tesco,2
red peppers,19,Mixed Peppers,1.79,Aldi,2
lettuce,20,Tesco Little Gem Lettuce Twin Pack,0.77,Tesco,2
cucumber,21,Cucumber,0.79,Aldi,2
dairy free yoghurt,23,Tesco Free From Soya Alternative to Greek Style Yogurt 400g,1.5,Tesco,2
chickpeas,26,Tesco Chickpeas In Water 400G,0.45,Tesco,2
organic eggs,28,British Organic Eggs 6 Pack,2.25,Aldi,1
dark choc,29,Tesco Finest Peru Dark Chocolate 85% 100g,2.4,Tesco,2
organic milk,30,Tesco Organic British Semi Skimmed Milk 1.136L 2 Pint,2.0,Tesco,1
salmon,36,Boneless Salmon Fillets 2 Pack,3.59,Aldi,2
