reference_id,name,shopping_frequency
1,watermelon, 2
2,raspberries, 2
3,blackberries, 2
4,pineapple, 1
5,apples, 3
6,oranges, 3
7,papaya, 2
8,broccoli, 2
9,cauliflower, 3
10,green beans, 2
11,green cabbage, 3
12,potatoes, 3
13,sweet potatoes, 3
14,carrots, 2
15,parsnip, 4
16,aubergine, 3
17,courgette, 4
18,brown onion, 4
19,red peppers, 2
20,lettuce, 2
21,cucumber, 2
22,Greek yoghurt, 3
23,dairy free yoghurt, 2
24,gf corn flakes, 3
25,gf bran flakes, 3
26,chickpeas, 2
27,honey, 4
28,organic eggs, 1
29,dark choc, 2
30,organic milk, 1
31,cashews, 4
32,pistachios, 4
33,walnuts, 4
34,gf pasta, 4
35,gf spaghetti, 4
36,salmon, 2
37,sea bass, 3
38,grated mozzarella, 3
